id,name,name_id,url,country,date_live,date_added,usdt,fiat,auto,volume_usd,udate,volume_usd_adj
144,Octaex,octaex,https://octaex.com,,,2018-05-11 00:00:00,0,1,No,0.0,NA,0.0
145,Iquant,5iquant,https://www.5iquant.org/,,,2018-05-11 00:00:00,0,0,No,878911.8053756487,Lag,0.0
146,IDAX,idax,https://www.idax.pro/,Mongolia,2018-01-01,2018-05-21 00:00:00,0,0,No,620151.3656441214,Lag,0.0
147,Cointiger,cointiger,https://www.cointiger.com/,Singapore,2017-01-01,2018-05-21 00:00:00,0,0,No,205460702.05904576,Recently,8128073.200955806
148,Allcoin,allcoin,https://www.allcoin.com/,Canada,2016-01-01,2018-05-21 00:00:00,0,0,No,5001.350856975457,Lag,0.0
149,Idex,idex,https://idex.market,Panama,2017-01-01,0000-00-00 00:00:00,0,0,No,15527.6037405482,Lag,15527.6037405482
150,CryptoBridge,cryptobridge,https://crypto-bridge.org/,,,2018-05-31 00:00:00,0,0,No,8371.852190750637,Lag,8371.852190750637
151,Token Store,tokenstore,https://token.store,,,2018-05-31 00:00:00,0,0,No,36.17354729003276,Lag,0.0
152,Coinbe,coinbe,https://coinbe.net/,Poland,,2018-06-01 00:00:00,0,0,No,0.0,Lag,0.0
153,OpenLedger,openledger,https://openledger.io,Denmark,,2018-06-01 00:00:00,0,0,No,0.0,Lag,0.0
154,BTC-Alpha,btc-alpha,https://btc-alpha.com/,,,2018-06-01 00:00:00,0,0,No,4406.676052374575,Lag,0.0
155,DDEX,ddex,https://ddex.io/,,2017-01-01,2018-06-01 00:00:00,0,0,No,515.81865,Recently,515.81865
156,TradeOgre,tradeogre,https://tradeogre.com,,,2018-06-01 00:00:00,0,0,No,878710.0268807757,Recently,878710.0268807757
157,Stocks.Exchange,stocks.exchange,https://stocks.exchange/,,,2018-06-01 00:00:00,0,0,No,603762.5455331609,NA,0.0
158,Bitbns,bitbns,https://bitbns.com,,,2018-06-01 00:00:00,0,1,No,13650105.910618817,Recently,1848010.466601966
159,TideBit,tidebit,https://www.tidebit.com/,Hong Kong,2017-01-01,2018-06-02 00:00:00,0,1,No,0.0,Lag,0.0
160,Waves Decentralized Exchange,wavesplatform,https://www.wavesplatform.com/,,,2018-06-02 00:00:00,0,1,No,1974742.001145666,Recently,0.0
161,Stellar Decentralized Exchange,stellardex,https://stellarterm.com,,,2018-06-02 00:00:00,0,1,No,3375032.481221608,Recently,3375032.481221608
162,Neraex,neraex,https://neraex.pro/,Japan,2017-01-01,2018-06-02 00:00:00,0,1,No,8096.5800925432,Lag,0.0
