id,name,name_id,url,country,date_live,date_added,usdt,fiat,auto,volume_usd,udate,volume_usd_adj
112,Quadrigacx,quadrigacx,https://www.quadrigacx.com,Canada,,2018-05-03 00:00:00,0,0,No,497475.6280800527,NA,497475.6280800527
113,Crex24,crex24,https://crex24.com,Cyprus,2017-01-01,2018-05-03 00:00:00,0,1,No,2507461.65856224,Recently,2507461.65856224
114,Btcc,btcc,https://btcc.com,"Hong Kong, China",2011-00-00,2018-05-07 00:00:00,0,1,Yes,0.0,NA,0.0
115,Dragonex,dragonex,https://dragonex.io,Thailand,2017-01-01,2018-05-07 00:00:00,1,0,No,519598713.5331335,Recently,1806448.5982672917
116,BTCbox,btcbox,https://www.btcbox.co.jp,"Chiba-cho, Nihonbashi, Chuo-ku, Tokyo",2014-00-00,2018-05-07 00:00:00,0,1,No,55939513.457879,Recently,55939513.457879
118,Otcbtc,otcbtc,https://otcbtc.com,Taiwan,,2018-05-07 00:00:00,1,0,No,1942.8970455546,Recently,1942.8970455546
119,Indodax,indodax,https://indodax.com,Indonesia,2014-01-01,2018-05-08 00:00:00,0,1,No,1859705.7215993297,Recently,735326.1312991781
120,Ooobtc,ooobtc,https://ooobtc.com,Singapore,,2018-05-08 00:00:00,0,0,No,149031.57753848354,Lag,0.0
121,Fatbtc,fatbtc,https://www.fatbtc.com,Seychelles,2014-01-01,2018-05-08 00:00:00,0,0,No,208731295.92873776,Recently,1101024.8987604594
122,Gopax,gopax,https://www.gopax.co.kr,South Korea,2016-01-01,2018-05-08 00:00:00,0,0,No,931480.7481272004,Recently,0.0
123,Bitbank,bitbank,https://bitbank.cc/,Japan,2016-01-01,2018-05-08 00:00:00,0,1,No,60871961.209785886,Recently,11121995.720823325
124,Braziliex,braziliex,https://braziliex.com/,Brazil,2017-01-01,2018-05-08 00:00:00,0,1,No,0.0,NA,0.0
125,BtcTrade.im,btctradeim,https://www.btctrade.im/,Hong Kong,,2018-05-08 00:00:00,0,0,No,7408781.928712622,NA,0.0
126,BTC TRADE UA ,btctradeua,https://btc-trade.com.ua,Ukraine,,2018-05-08 00:00:00,0,1,No,0.0,NA,0.0
128,Coinex,coinex,https://www.coinex.com/,China,2017-01-01,2018-05-08 00:00:00,1,0,No,95551581.07135552,Recently,46075581.01036505
129,Ethfinex,ethfinex,https://www.ethfinex.com,British Virgin Islands,2017-01-01,2018-05-08 00:00:00,0,0,No,908170.9839628545,Lag,0.0
130,GetBTC,getbtc,https://getbtc.org/,"St. Vincent & Grenadines, Russia
",,2018-05-08 00:00:00,0,1,No,0.0,NA,0.0
131,Kuna,kuna,https://kuna.io/,Ukraine,,2018-05-08 00:00:00,0,1,No,12513.4684111494,Recently,12513.4684111494
132,Lykke,lykke,https://www.lykke.com/,Switzerland,2017-01-01,2018-05-08 00:00:00,0,1,No,124642.666201556,Recently,124642.666201556
133,NegocieCoins,negociecoins,https://www.negociecoins.com.br/,Brazil,,2018-05-09 00:00:00,0,1,No,16747.9241587738,Lag,0.0
135,QRYPTOS,qryptos,https://www.qryptos.com/,"China, Taiwan",,2018-05-10 00:00:00,0,0,No,110957.58145141635,Lag,0.0
136,Coinrail,coinrail,https://coinrail.co.kr,Korea,,2018-05-10 00:00:00,0,1,No,6792.622428012341,Lag,6792.622428012341
139,Zebpay,zebpay,https://www.zebpay.com/,Singapore,2015-00-00,2018-05-11 00:00:00,0,1,No,2443791.202829615,Recently,2443791.202829615
140,Fexpro,fexpro,https://fexpro.io,Hong Kong,,2018-05-11 00:00:00,1,0,No,3026.242485821885,NA,0.0
141,B2bx,b2bx,https://www.b2bx.exchange,Russia,2017-01-01,2018-05-11 00:00:00,1,0,No,0.0,NA,0.0
143,Exrates,exrates,https://exrates.me/,Indonesia,2017-01-01,2018-05-11 00:00:00,0,1,No,33233800.905425016,Recently,33233800.905425016
146,IDAX,idax,https://www.idax.pro/,Mongolia,2018-01-01,2018-05-21 00:00:00,0,0,No,620151.3656441214,Lag,0.0
147,Cointiger,cointiger,https://www.cointiger.com/,Singapore,2017-01-01,2018-05-21 00:00:00,0,0,No,227738655.03382465,Recently,9146260.534895629
148,Allcoin,allcoin,https://www.allcoin.com/,Canada,2016-01-01,2018-05-21 00:00:00,0,0,No,5001.350856975457,Lag,0.0
149,Idex,idex,https://idex.market,Panama,2017-01-01,0000-00-00 00:00:00,0,0,No,15527.6037405482,Lag,15527.6037405482
152,Coinbe,coinbe,https://coinbe.net/,Poland,,2018-06-01 00:00:00,0,0,No,0.0,Lag,0.0
153,OpenLedger,openledger,https://openledger.io,Denmark,,2018-06-01 00:00:00,0,0,No,0.0,Lag,0.0
159,TideBit,tidebit,https://www.tidebit.com/,Hong Kong,2017-01-01,2018-06-02 00:00:00,0,1,No,0.0,Lag,0.0
162,Neraex,neraex,https://neraex.pro/,Japan,2017-01-01,2018-06-02 00:00:00,0,1,No,8096.5800925432,Lag,0.0
164,FreiExchange,freiexchange,https://freiexchange.com,Norway,2016-01-01,2018-06-02 00:00:00,0,0,No,13210.646983354316,Recently,13210.646983354316
168,COSS,coss,https://www.coss.io/,Singapore,2017-01-01,2018-06-08 00:00:00,0,0,No,0.0,Recently,0.0
171,Upbit,upbit,https://upbit.com/,South Korea,2017-01-01,2018-06-12 00:00:00,0,1,No,1449720003.787763,Recently,1044619352.541195
177,Bitmart,bitmart,https://www.bitmart.com,Cayman Islands,2017-01-01,2018-07-11 00:00:00,1,0,No,703421378.2986631,Recently,356221791.2427599
